SeriousDlqin2yrs,RevolvingUtil,age,Late30_59,DebtRatio,MonthlyIncome,OpenCreditLines,Late90,RealEstateLoans,Late60_89,Dependents
0,0.4638980067019204,58,0,0.4999548074689928,,6,0,0,0,3.0
1,0.9253376551496216,41,2,1.3955832225972902,1871.185387581493,8,3,2,0,0.0
0,0.2658563205679702,59,0,0.3769600346248541,18474.828836623015,7,0,1,0,1.0
0,0.5114229469112981,21,0,0.12021516537034856,,9,0,1,0,2.0
0,0.16228680421366654,36,0,0.10747691175767944,5241.119357407133,10,0,0,0,0.0
0,0.12312943565861716,52,0,0.10463438641662054,6072.725571356995,11,0,1,0,1.0
0,0.6850212380703596,48,1,0.41913092473438046,10363.406886013106,9,0,1,0,2.0
0,0.09453761201955525,47,1,0.4859317845196849,10043.096585321182,8,0,5,0,0.0
0,0.2127502972963223,38,0,0.43482160766260086,8349.483223689458,9,0,1,0,0.0
0,0.5535298879672621,32,0,0.321237176747449,6536.44420096975,8,0,3,0,4.0
0,0.31848723771791826,80,0,0.37942240695751983,22341.751551297984,9,0,1,0,1.0
1,0.9120982444155501,46,1,1.407726458912747,3168.5809363433377,1,1,2,1,0.0
0,0.09318012155259736,60,0,0.46034505661998604,6526.165523900733,13,0,1,0,0.0
0,0.5033764859880886,52,0,0.4444497730051355,17565.002055153924,12,0,2,0,1.0
0,0.2974427372510463,52,0,0.08992495203232845,8593.456186584868,6,0,3,0,3.0
0,0.36293948947289534,51,0,0.4679633839463857,,8,0,0,0,1.0
0,0.2989340103168212,36,0,0.0887019060866992,,12,0,1,0,1.0
0,0.193500597542551,30,0,0.2399703040602168,12746.877049058387,10,0,0,0,1.0
0,0.10354797292806066,57,0,0.12241067608507586,14294.02605915474,7,0,1,0,0.0
0,0.20126093782906807,54,0,0.21833056151003946,,4,0,2,0,1.0
0,0.3233771388125454,65,0,0.6706226101023162,,5,0,0,0,0.0
0,0.27843160819079626,62,0,0.14354038496410412,6295.451664440334,9,0,2,0,1.0
0,0.28388899861009464,40,0,0.3115450562007511,,8,0,0,0,0.0
0,0.16920062969798258,67,1,0.40049307274080725,22038.35442932514,8,0,1,0,1.0
0,0.3166038394588354,62,0,0.08919851501409667,11253.640039225118,8,0,1,0,3.0
